"Add New Field","إضافة حقل جديد"
"Save Field","حفظ الحقل"
"Delete Field","حذف الحقل"
"Edit Field '%1'","تحرير الحقل '1٪'"
"New Field","حقل جديد"
"Advanced Field Properties","خصائص الحقل المتقدمة"
"Use values greater than 1","استخدم قيمًا أكبر من 1"
"Field Properties","خصائص الحقل"
"Field Information","مجال المعلومات"
"Checkout field was deleted.","تم حذف حقل السحب."
"Can't find a field to delete.","لا يمكن العثور على حقل لحذفه."
"Edit Field","تحرير الحقل"
"This field no longer exists.","هذا الحقل لم يعد موجودا."
"Manage Fields","إدارة الحقول"
"You saved the checkout field.","قمت بحفظ حقل الخروج."
"An field with this code already exists.","يوجد حقل بهذا الرمز بالفعل."
"An field with the same code (%1) already exists.","يوجد بالفعل حقل بنفس الكود (٪1)."
"Please fill all required fields before placing the order.","يرجى ملء جميع الحقول المطلوبة قبل وضع النظام."
"Additional Information","معلومة اضافية"
"No additional information found.","لم يتم العثور على معلومات إضافية."
"Field Code","كود المجال"
