"Add New Field",新しいフィールドを追加
"Save Field",フィールドを保存
"Delete Field",フィールドを削除
"Edit Field '%1'","フィールド '％1'を編集"
"New Field",新しいフィールド
"Advanced Field Properties",高度なフィールドプロパティ
"Use values greater than 1",1より大きい値を使用します
"Field Properties",フィールドのプロパティ
"Field Information",フィールド情報
"Checkout field was deleted.",チェックアウトフィールドが削除されました。
"Can't find a field to delete.",削除するフィールドが見つかりません。
"Edit Field",フィールドを編集
"This field no longer exists.",このフィールドはもう存在しません。
"Manage Fields",フィールドを管理する
"You saved the checkout field.",チェックアウトフィールドを保存しました。
"An field with this code already exists.",このコードのフィールドは既に存在します。
"An field with the same code (%1) already exists.",同じコード（％1）のフィールドが既に存在します。
"Please fill all required fields before placing the order.",注文する前に、すべての必須フィールドに入力してください。
"Additional Information",追加情報
"No additional information found.",追加情報は見つかりませんでした。
"Field Code",フィールドコード
