"Add New Field","새 필드 추가"
"Save Field","필드 저장"
"Delete Field","필드 삭제"
"Edit Field '%1'","필드 '%1'편집"
"New Field","새로운 분야"
"Advanced Field Properties","고급 필드 속성"
"Use values greater than 1","1보다 큰 값을 사용하십시오."
"Field Properties","필드 속성"
"Field Information","필드 정보"
"Checkout field was deleted.","결제 필드가 삭제되었습니다."
"Can't find a field to delete.","삭제할 필드를 찾을 수 없습니다."
"Edit Field","필드 편집"
"This field no longer exists.","이 필드는 더 이상 존재하지 않습니다."
"Manage Fields","필드 관리"
"You saved the checkout field.","결제 필드를 저장했습니다."
"An field with this code already exists.","이 코드를 가진 필드가 이미 존재합니다."
"An field with the same code (%1) already exists.","동일한 코드 (%1)의 필드가 이미 존재합니다."
"Please fill all required fields before placing the order.","주문하기 전에 모든 필수 필드를 작성하십시오."
"Additional Information","추가 정보"
"No additional information found.","추가 정보가 없습니다."
"Field Code","필드 코드"
