"Add New Field","Adicionar novo campo"
"Save Field","Salvar campo"
"Delete Field","Excluir campo"
"Edit Field '%1'","Editar campo '%1'"
"New Field","Novo campo"
"Advanced Field Properties","Propriedades avançadas do campo"
"Use values greater than 1","Use valores maiores que 1"
"Field Properties","Propriedades do campo"
"Field Information","Informações de campo"
"Checkout field was deleted.","O campo do checkout foi excluído."
"Can't find a field to delete.","Não foi possível encontrar um campo para excluir."
"Edit Field","Editar campo"
"This field no longer exists.","Este campo não existe mais."
"Manage Fields","Gerenciar campos"
"You saved the checkout field.","Você salvou o campo de checkout."
"An field with this code already exists.","Um campo com esse código já existe."
"An field with the same code (%1) already exists.","Um campo com o mesmo código (%1) já existe."
"Please fill all required fields before placing the order.","Preencha todos os campos obrigatórios antes de fazer o pedido."
"Additional Information","informação adicional"
"No additional information found.","Nenhuma informação adicional encontrada."
"Field Code","Código do campo"
