"Add New Field","Добавить новое поле"
"Save Field","Сохранить поле"
"Delete Field","Удалить поле"
"Edit Field '%1'","Редактировать поле ""%1"""
"New Field","Новое поле"
"Advanced Field Properties","Расширенные свойства поля"
"Use values greater than 1","Используйте значения больше 1"
"Field Properties","Свойства поля"
"Field Information","Информация о поле"
"Checkout field was deleted.","Поле оформления заказа удалено."
"Can't find a field to delete.","Не могу найти поле для удаления."
"Edit Field","Редактировать поле"
"This field no longer exists.","Это поле больше не существует."
"Manage Fields","Управление полями"
"You saved the checkout field.","Вы сохранили поле оформления заказа."
"An field with this code already exists.","Поле с этим кодом уже существует."
"An field with the same code (%1) already exists.","Поле с таким же кодом (%1) уже существует."
"Please fill all required fields before placing the order.","Пожалуйста, заполните все обязательные поля перед оформлением заказа."
"Additional Information","Дополнительная информация"
"No additional information found.","Дополнительная информация не найдена."
"Field Code","Код поля"
