"Add New Field",添加新字段
"Save Field",保存字段
"Delete Field",删除栏位
"Edit Field '%1'",编辑字段'％1'
"New Field",新领域
"Advanced Field Properties",高级字段属性
"Use values greater than 1",使用大于1的值
"Field Properties",字段属性
"Field Information",现场信息
"Checkout field was deleted.",结帐字段已删除。
"Can't find a field to delete.",找不到要删除的字段。
"Edit Field",编辑栏位
"This field no longer exists.",该字段不再存在。
"Manage Fields",管理栏位
"You saved the checkout field.",您保存了结帐字段。
"An field with this code already exists.",具有此代码的字段已存在。
"An field with the same code (%1) already exists.",具有相同代码（％1）的字段已存在。
"Please fill all required fields before placing the order.",在下订单之前，请填写所有必填字段。
"Additional Information",附加信息
"No additional information found.",找不到其他信息。
"Field Code",场代码
