"Save Field","حفظ الحقل"
"Delete Field","حذف الحقل"
"Edit Field '%1'","تحرير الحقل '%1'"
"New Field","حقل جديد"
"Advanced Field Properties","خصائص الحقل المتقدمة"
"Show on Storefront","عرض على واجهة المتجر"
"Show In Forms","تظهر في النماذج"
"Field Properties","خصائص الحقل"
"Field Information","مجال المعلومات"
"You cannot delete this field.","لا يمكنك حذف هذا الحقل."
"Field was deleted.","تم حذف الحقل."
"Can't find a field to delete.","لا يمكن العثور على حقل لحذفه."
"This field no longer exists.","هذا الحقل لم يعد موجودا."
"You cannot edit this attribute.","لا يمكنك تعديل هذه السمة."
"You saved the field.","قمت بحفظ الحقل."
"An field with this code already exists.","يوجد حقل بهذا الرمز بالفعل."
"An field with the same code (%1) already exists.","يوجد بالفعل حقل بنفس الكود (%1)."
"Customer Address Registration","تسجيل عنوان العميل"
"Customer Account Address","عنوان حساب العميل"
"Customer Registration","التسجيل العملاء"
"Customer Account Edit","تعديل حساب العميل"
"Admin Checkout","الادارية الخروج"
"Name must be required.","يجب أن يكون الاسم مطلوبًا."
"Country must be visible to keep Magento working.","يجب أن تكون الدولة مرئية للحفاظ على عمل Magento."
"Use ""Stores > Configuration > General > State"" to change region field status","استخدم ""المتاجر> التكوين> عام> الولاية"" لتغيير حالة حقل المنطقة"
"Use ""Stores > Configuration > General > Country Options"" to change postcode status","استخدم ""المتاجر> التكوين> عام> خيارات البلد"" لتغيير حالة الرمز البريدي"
"Email must be required.","يجب أن يكون البريد الإلكتروني مطلوبًا."
"Website_id must be required.","يجب أن تكون Website_id مطلوبة."
"Group_id must be required.","يجب أن تكون Group_id مطلوبة."
"Remove website overrides","إزالة تخطيات الموقع"
