"Save Field","Lagre felt"
"Delete Field","Slett felt"
"Edit Field '%1'","Rediger felt '%1'"
"New Field","Nytt felt"
"Advanced Field Properties","Avanserte feltegenskaper"
"Show on Storefront","Vis på Storefront"
"Show In Forms","Vis i skjemaer"
"Field Properties",Feltegenskaper
"Field Information",Feltinformasjon
"You cannot delete this field.","Du kan ikke slette dette feltet."
"Field was deleted.","Feltet ble slettet."
"Can't find a field to delete.","Finner ikke et felt å slette."
"This field no longer exists.","Dette feltet eksisterer ikke lenger."
"You cannot edit this attribute.","Du kan ikke redigere dette attributtet."
"You saved the field.","Du lagret feltet."
"An field with this code already exists.","Et felt med denne koden eksisterer allerede."
"An field with the same code (%1) already exists.","Et felt med samme kode (%1) eksisterer allerede."
"Customer Address Registration","Registrering av kundeadresse"
"Customer Account Address","Kundekonto adresse"
"Customer Registration",Kunderegistrering
"Customer Account Edit","Kundekonto Redigering"
"Admin Checkout","Admin Checkout"
"Name must be required.","Navn må kreves."
"Country must be visible to keep Magento working.","Land må være synlig for at Magento skal fungere."
"Use ""Stores > Configuration > General > State"" to change region field status","Bruk ""Butikker> Konfigurasjon> Generelt> Tilstand"" for å endre statusen til regionfeltet"
"Use ""Stores > Configuration > General > Country Options"" to change postcode status","Bruk ""Butikker> Konfigurasjon> Generelt> Landalternativer"" for å endre poststatus"
"Email must be required.","E-post må kreves."
"Website_id must be required.","Website_id må være påkrevd."
"Group_id must be required.","Group_id må være påkrevd."
"Remove website overrides","Fjern overstyring av nettstedet"
